distance_travelled,brand,engine_capacity,year_of_creation,engine_type,price,hp
86000.0,Тойота,2.5,2018.0,бензин,2777000.0,181.0
80000.0,Хонда,1.5,2018.0,бензин,1925000.0,182.0
100000.0,Мерседес,3.5,2013.0,бензин,1800000.0,249.0
111437.0,Ниссан,2.0,2021.0,бензин,1750000.0,149.0
147000.0,Тойота,2.4,2014.0,бензин,3150000.0,150.0
171305.0,Мерседес,4.0,2017.0,бензин,4780000.0,469.0
220000.0,Фольксваген,1.8,2011.0,бензин,200000.0,75.0
27630.0,Сузуки,1.5,2022.0,бензин,1950000.0,105.0
17754.0,Джили,1.5,2023.0,бензин,2150000.0,150.0
137000.0,LADA,1.6,2021.0,бензин,950000.0,87.0
403398.0,Ауди,1.8,2014.0,бензин,500000.0,160.0
195000.0,Опель,1.6,2012.0,бензин,650000.0,115.0
